"Client";"Taux Ambulatoire Public";"Taux Ambulatoire Privé";"Taux Hospitalisation Public";"Taux Hospitalisation Privé";"Plafond Chambre/Jour (FCFA)"
"3M PARTNERS";"—";"—";"—";"—";"—"
"3M PARTNERS";"—";"—";"—";"—";"—"
"AB LOCATION";"—";"—";"—";"—";"—"
"ANINF";"—";"—";"—";"—";"—"
"BRIGHT CONSULTING";"—";"—";"—";"—";"—"
"BW ENERGY";"—";"—";"—";"—";"—"
"C.G.E.M.E";"—";"—";"—";"—";"—"
"C.G.E.M.E";"—";"—";"—";"—";"—"
"CARTHAGO VENTURES";"—";"—";"—";"—";"—"
"CARTHAGO VENTURES";"—";"—";"—";"—";"—"
"CARTHAGO VENTURES";"—";"—";"—";"—";"—"
"CGC";"—";"—";"—";"—";"—"
"CGTE";"—";"—";"—";"—";"—"
"CGTE";"—";"—";"—";"—";"—"
"CIMAF GABON";"—";"—";"—";"—";"—"
"CIMAF GABON";"—";"—";"—";"—";"—"
"CIMAF GABON";"—";"—";"—";"—";"—"
"Client Test Matricule";"—";"—";"—";"—";"—"
"CTPM";"—";"—";"—";"—";"—"
"EP2C & ENERGY GABON";"—";"—";"—";"—";"—"
"ETUDE M GEY";"—";"—";"—";"—";"—"
"FOBERD";"—";"—";"—";"—";"—"
"GABON ENV";"—";"—";"—";"—";"—"
"GSEZ";"—";"—";"—";"—";"—"
"HOTEL MANDJI";"—";"—";"—";"—";"—"
"ICG";"—";"—";"—";"—";"—"
"INTERIM SERVICES P";"—";"—";"—";"—";"—"
"KM SERVICES";"—";"—";"—";"—";"—"
"LA RUCHE EXCELLENCE";"—";"—";"—";"—";"—"
"LA RUCHE EXCELLENCE";"—";"—";"—";"—";"—"
"LES ACIERIES";"—";"—";"—";"—";"—"
"MAACC";"—";"—";"—";"—";"—"
"MAUREL & PROM";"—";"—";"—";"—";"—"
"MAUREL & PROM";"—";"—";"—";"—";"—"
"MSD CONSEILS";"—";"—";"—";"—";"—"
"NOIP";"—";"—";"—";"—";"—"
"OLA ENERGY";"—";"—";"—";"—";"—"
"OMP";"—";"—";"—";"—";"—"
"OW ASSISTANCE CONSULTING";"—";"—";"—";"—";"—"
"PA CONSULTING";"—";"—";"—";"—";"—"
"RIG FORCE INSPECTION";"—";"—";"—";"—";"—"
"ROUGIER GABON";"—";"—";"—";"—";"—"
"S.B.L";"—";"—";"—";"—";"—"
"SEM";"—";"—";"—";"—";"—"
"SETRAF";"—";"—";"—";"—";"—"
"SOFAVIN";"—";"—";"—";"—";"—"
"SOFERGA";"—";"—";"—";"—";"—"
"SOGAMATEC";"—";"—";"—";"—";"—"
"SOGARA";"—";"—";"—";"—";"—"
"UPEGA";"—";"—";"—";"—";"—"
"UPEGA";"—";"—";"—";"—";"—"
